run,sample,experiment,study
SRR787291,SAMN01942529,SRX252526,PRJNA192876
SRR787292,SAMN01942529,SRX252526,PRJNA192876
SRR787293,SAMN01942529,SRX252526,PRJNA192876
SRR787294,SAMN01942529,SRX252526,PRJNA192876
SRR787295,SAMN01942529,SRX252526,PRJNA192876
SRR790623,SAMN01942529,SRX253977,PRJNA192876
SRR790624,SAMN01942529,SRX253977,PRJNA192876
SRR790625,SAMN01942529,SRX253977,PRJNA192876
SRR790254,SAMN01942529,SRX253979,PRJNA192876
SRR790259,SAMN01942529,SRX253979,PRJNA192876
SRR790261,SAMN01942529,SRX253979,PRJNA192876
SRR790660,SAMN01942529,SRX254117,PRJNA192876
SRR790662,SAMN01942529,SRX254117,PRJNA192876
SRR790663,SAMN01942529,SRX254117,PRJNA192876
SRR1798064,SAMN03003005,SRX872600,PRJNA259082
SRR1798065,SAMN03003005,SRX872601,PRJNA259082
SRR1798066,SAMN03003005,SRX872602,PRJNA259082
SRR1798067,SAMN03003005,SRX872603,PRJNA259082
SRR1798068,SAMN03003005,SRX872604,PRJNA259082
SRR1798069,SAMN03003005,SRX872605,PRJNA259082
SRR1798070,SAMN03003005,SRX872606,PRJNA259082
SRR1798071,SAMN03003005,SRX872607,PRJNA259082
SRR1798072,SAMN03003005,SRX872608,PRJNA259082
SRR1798073,SAMN03003005,SRX872609,PRJNA259082
SRR1798074,SAMN03003005,SRX872610,PRJNA259082
SRR1798075,SAMN03003005,SRX872611,PRJNA259082
SRR1798076,SAMN03003005,SRX872612,PRJNA259082
SRR1798077,SAMN03003005,SRX872613,PRJNA259082
SRR1798078,SAMN03003005,SRX872614,PRJNA259082
SRR1798079,SAMN03003005,SRX872615,PRJNA259082
SRR1798080,SAMN03003005,SRX872616,PRJNA259082
SRR1798081,SAMN03003005,SRX872617,PRJNA259082
SRR1798082,SAMN03003005,SRX872618,PRJNA259082
SRR1798083,SAMN03003005,SRX872619,PRJNA259082
SRR1798084,SAMN03003005,SRX872620,PRJNA259082
SRR1798085,SAMN03003005,SRX872621,PRJNA259082
SRR1798086,SAMN03003005,SRX872622,PRJNA259082
SRR1798087,SAMN03003005,SRX872623,PRJNA259082
SRR1798088,SAMN03003005,SRX872624,PRJNA259082
SRR1798089,SAMN03003005,SRX872625,PRJNA259082
SRR1589647,SAMN03003399,SRX713907,PRJNA259145
SRR1589648,SAMN03003399,SRX713908,PRJNA259145
SRR1589649,SAMN03003399,SRX713909,PRJNA259145
SRR1589650,SAMN03003399,SRX713910,PRJNA259145
SRR1589651,SAMN03003399,SRX713911,PRJNA259145
SRR1589652,SAMN03003399,SRX713912,PRJNA259145
SRR1589653,SAMN03003399,SRX713913,PRJNA259145
SRR1589654,SAMN03003399,SRX713914,PRJNA259145
SRR1589655,SAMN03003399,SRX713915,PRJNA259145
SRR1589656,SAMN03003399,SRX713916,PRJNA259145
SRR1589657,SAMN03003399,SRX713917,PRJNA259145
SRR1589658,SAMN03003399,SRX713918,PRJNA259145
SRR1589659,SAMN03003399,SRX713919,PRJNA259145
SRR1589660,SAMN03003399,SRX713920,PRJNA259145
SRR1589661,SAMN03003399,SRX713921,PRJNA259145
SRR1589662,SAMN03003399,SRX713922,PRJNA259145
SRR1589663,SAMN03003399,SRX713923,PRJNA259145
SRR1589664,SAMN03003399,SRX713924,PRJNA259145
SRR1589665,SAMN03003399,SRX713925,PRJNA259145
SRR1589666,SAMN03003399,SRX713926,PRJNA259145
SRR1589667,SAMN03003399,SRX713927,PRJNA259145
SRR1589668,SAMN03003399,SRX713928,PRJNA259145
SRR1589669,SAMN03003399,SRX713929,PRJNA259145
SRR1589670,SAMN03003399,SRX713930,PRJNA259145
SRR1589671,SAMN03003399,SRX713931,PRJNA259145
SRR1589672,SAMN03003399,SRX713932,PRJNA259145
SRR1589673,SAMN03003399,SRX713933,PRJNA259145
SRR1589674,SAMN03003399,SRX713934,PRJNA259145
SRR1589675,SAMN03003399,SRX713935,PRJNA259145
SRR1589676,SAMN03003399,SRX713936,PRJNA259145
SRR1589677,SAMN03003399,SRX713937,PRJNA259145
SRR1589678,SAMN03003399,SRX713938,PRJNA259145
SRR1589679,SAMN03003399,SRX713939,PRJNA259145
SRR1589680,SAMN03003399,SRX713940,PRJNA259145
SRR1589681,SAMN03003399,SRX713941,PRJNA259145
SRR1589682,SAMN03003399,SRX713942,PRJNA259145
SRR1589683,SAMN03003399,SRX713943,PRJNA259145
SRR1589684,SAMN03003399,SRX713944,PRJNA259145
SRR1589685,SAMN03003399,SRX713945,PRJNA259145
SRR1589686,SAMN03003399,SRX713946,PRJNA259145
SRR1589687,SAMN03003399,SRX713947,PRJNA259145
SRR1588449,SAMN03003002,SRX712736,PRJNA259146
SRR1588450,SAMN03003002,SRX712737,PRJNA259146
SRR1588451,SAMN03003002,SRX712738,PRJNA259146
SRR1588452,SAMN03003002,SRX712739,PRJNA259146
SRR1588453,SAMN03003002,SRX712740,PRJNA259146
SRR1588454,SAMN03003002,SRX712741,PRJNA259146
SRR1588455,SAMN03003002,SRX712742,PRJNA259146
SRR1588456,SAMN03003002,SRX712743,PRJNA259146
SRR1588457,SAMN03003002,SRX712744,PRJNA259146
SRR1588458,SAMN03003002,SRX712745,PRJNA259146
SRR1588459,SAMN03003002,SRX712746,PRJNA259146
SRR1588460,SAMN03003002,SRX712747,PRJNA259146
SRR1588461,SAMN03003002,SRX712748,PRJNA259146
SRR1588462,SAMN03003002,SRX712749,PRJNA259146
SRR1588463,SAMN03003002,SRX712750,PRJNA259146
SRR1588464,SAMN03003002,SRX712751,PRJNA259146
