study_accession	secondary_study_accession	study_title	study_alias	experiment_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	experiment_alias	sample_accession	secondary_sample_accession	run_accession	submission_accession	tax_id	scientific_name	nominal_length	read_count	base_count	center_name	first_public	last_updated	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX252526	ILLUMINA	Illumina HiSeq 2000	Physco_light	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of light-regulated alternative splicing	Physco_light_AS	SAMN01942529	SRS402930	SRR787291	SRA069858	3218	Physcomitrella patens	195.0	15702861.0	3171977922.0	Institute of Plant and Microbial Biology, Academia	2014-01-14	2014-01-14	D-PE100	1387104907;1421403140;	73771a3257cd92bc1a0573112f725355;5a13fb5486666697c8116f39cd2ac19c;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787291/SRR787291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787291/SRR787291_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787291/SRR787291_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787291/SRR787291_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787291/SRR787291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787291/SRR787291_2.fastq.gz;							2153210281.0	baffcfcb4c462082a114a996fb14483b	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787291	fasp.sra.ebi.ac.uk:/vol1/srr/SRR787/SRR787291	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787291				Physco_AS		General Sample for Physcomitrella patens	0.0	2014-01-14
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX252526	ILLUMINA	Illumina HiSeq 2000	Physco_light	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of light-regulated alternative splicing	Physco_light_AS	SAMN01942529	SRS402930	SRR787292	SRA069858	3218	Physcomitrella patens	195.0	23207480.0	4687910960.0	Institute of Plant and Microbial Biology, Academia	2014-01-14	2014-01-14	R1-PE100	2038521754;2087363737;	889715eb1f4d56abda921b911a5282ad;4b6914b52d648db47805b39c7ae9c378;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787292/SRR787292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787292/SRR787292_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787292/SRR787292_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787292/SRR787292_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787292/SRR787292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787292/SRR787292_2.fastq.gz;							3165782117.0	6ad6ca0a0bc0734795c8803461fbb02e	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787292	fasp.sra.ebi.ac.uk:/vol1/srr/SRR787/SRR787292	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787292				Physco_AS		General Sample for Physcomitrella patens	0.0	2014-01-14
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX252526	ILLUMINA	Illumina HiSeq 2000	Physco_light	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of light-regulated alternative splicing	Physco_light_AS	SAMN01942529	SRS402930	SRR787293	SRA069858	3218	Physcomitrella patens	195.0	19456302.0	3930173004.0	Institute of Plant and Microbial Biology, Academia	2014-01-14	2014-01-14	R4-PE100	1712622954;1752088722;	a72b36404a12c04d3d93e5dbb68f356b;ab22ba004a8cb8e52e4759442be7f85a;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787293/SRR787293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787293/SRR787293_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787293/SRR787293_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787293/SRR787293_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787293/SRR787293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787293/SRR787293_2.fastq.gz;							2656729417.0	494a6686f1048f91d1fc224706f4cde8	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787293	fasp.sra.ebi.ac.uk:/vol1/srr/SRR787/SRR787293	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787293				Physco_AS		General Sample for Physcomitrella patens	0.0	2014-01-14
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX252526	ILLUMINA	Illumina HiSeq 2000	Physco_light	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of light-regulated alternative splicing	Physco_light_AS	SAMN01942529	SRS402930	SRR787294	SRA069858	3218	Physcomitrella patens	195.0	19888430.0	4017462860.0	Institute of Plant and Microbial Biology, Academia	2014-01-14	2014-01-14	B1-PE100	1747676577;1786306999;	56f8ce0c2d4a69a5a7e9c1086d32ae5d;e4d7169fb45e37bdf66f658b82b0230a;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787294/SRR787294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787294/SRR787294_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787294/SRR787294_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787294/SRR787294_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787294/SRR787294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787294/SRR787294_2.fastq.gz;							2711739801.0	96ddd9427402784abc9e5dc7e4d1ff8e	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787294	fasp.sra.ebi.ac.uk:/vol1/srr/SRR787/SRR787294	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787294				Physco_AS		General Sample for Physcomitrella patens	0.0	2014-01-14
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX252526	ILLUMINA	Illumina HiSeq 2000	Physco_light	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of light-regulated alternative splicing	Physco_light_AS	SAMN01942529	SRS402930	SRR787295	SRA069858	3218	Physcomitrella patens	195.0	19495560.0	3938103120.0	Institute of Plant and Microbial Biology, Academia	2014-01-14	2014-01-14	B4-PE100	1720488226;1757670134;	3bb538ff99243d9d94494aca105b98cb;07c93f95abc8c9bc2e165a78cc3e70b0;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787295/SRR787295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787295/SRR787295_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787295/SRR787295_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR787/SRR787295/SRR787295_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787295/SRR787295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/SRR787295/SRR787295_2.fastq.gz;							2666773217.0	a5239486d73b5acc7987ac4990abc368	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787295	fasp.sra.ebi.ac.uk:/vol1/srr/SRR787/SRR787295	ftp.sra.ebi.ac.uk/vol1/srr/SRR787/SRR787295				Physco_AS		General Sample for Physcomitrella patens	0.0	2014-01-14
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX253977	ILLUMINA	Illumina HiSeq 2000	Physco_heat	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of heat-regulated alternative splicing	Physco_heat_AS_SE75	SAMN01942529	SRS402930	SRR790623	SRA068782	3218	Physcomitrella patens	195.0	2575951.0	386392650.0	Institute of Plant and Microbial Biology, Academia	2013-07-10	2013-07-10	C_rep1_SE75	153294643;156293991;	247db32c2e92e64ef2ea196b95d04320;b91d4b2c445f72e1373a15a5cfd892da;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790623/SRR790623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790623/SRR790623_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790623/SRR790623_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790623/SRR790623_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790623/SRR790623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790623/SRR790623_2.fastq.gz;							209063941.0	063cb0b3e1488364758716f729bd0f40	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790623	fasp.sra.ebi.ac.uk:/vol1/srr/SRR790/SRR790623	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790623				Physco_AS		General Sample for Physcomitrella patens	0.0	2013-11-11
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX253977	ILLUMINA	Illumina HiSeq 2000	Physco_heat	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of heat-regulated alternative splicing	Physco_heat_AS_SE75	SAMN01942529	SRS402930	SRR790624	SRA068782	3218	Physcomitrella patens	195.0	3197490.0	479623500.0	Institute of Plant and Microbial Biology, Academia	2013-07-10	2013-07-10	1A_rep1_SE75	197606402;200138694;	48dfd222d5a5f5293cce03e8bdcf11b5;3eaf840c29c949d7ba7f446d21ff4ba3;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790624/SRR790624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790624/SRR790624_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790624/SRR790624_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790624/SRR790624_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790624/SRR790624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790624/SRR790624_2.fastq.gz;							271222449.0	d7500226a485a93853d3073d6e4682b1	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790624	fasp.sra.ebi.ac.uk:/vol1/srr/SRR790/SRR790624	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790624				Physco_AS		General Sample for Physcomitrella patens	0.0	2013-11-11
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX253977	ILLUMINA	Illumina HiSeq 2000	Physco_heat	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of heat-regulated alternative splicing	Physco_heat_AS_SE75	SAMN01942529	SRS402930	SRR790625	SRA068782	3218	Physcomitrella patens	195.0	2833797.0	425069550.0	Institute of Plant and Microbial Biology, Academia	2013-07-10	2013-07-10	3A_rep1_SE75	154923221;171179664;	60a5151e2cd2a2b27d9fd3797447be93;1902fd84afed0054aeada479b6f427d3;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790625/SRR790625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790625/SRR790625_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790625/SRR790625_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790625/SRR790625_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790625/SRR790625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790625/SRR790625_2.fastq.gz;							212785341.0	43b3bffc8766a2290b6f5f9585e77d72	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790625	fasp.sra.ebi.ac.uk:/vol1/srr/SRR790/SRR790625	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790625				Physco_AS		General Sample for Physcomitrella patens	0.0	2013-11-11
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX253979	ILLUMINA	Illumina HiSeq 2000	Physco_heat_PE101	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of heat-regulated alternative splicing	Physco_heat_AS_PE100	SAMN01942529	SRS402930	SRR790254	SRA068782	3218	Physcomitrella patens	195.0	5537078.0	1118489756.0	Institute of Plant and Microbial Biology, Academia	2013-07-10	2013-07-10	C-PE101	531917891;534867759;	dd2b9e697f73b780c2509738c2233041;688660a47bf869dec4803d3ca527a27e;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790254/SRR790254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790254/SRR790254_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790254/SRR790254_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790254/SRR790254_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790254/SRR790254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790254/SRR790254_2.fastq.gz;							821154141.0	62f397de03d1f4f7dd18447a16052b3f	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790254	fasp.sra.ebi.ac.uk:/vol1/srr/SRR790/SRR790254	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790254				Physco_AS		General Sample for Physcomitrella patens	0.0	2013-11-11
PRJNA192876	SRP019809	Physcomitrella patens Transcriptome or Gene expression	PRJNA192876	SRX253979	ILLUMINA	Illumina HiSeq 2000	Physco_heat_PE101	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000 paired end sequencing; mRNA-sequenciing for detection of heat-regulated alternative splicing	Physco_heat_AS_PE100	SAMN01942529	SRS402930	SRR790259	SRA068782	3218	Physcomitrella patens	195.0	7099361.0	1434070922.0	Institute of Plant and Microbial Biology, Academia	2013-07-10	2013-07-10	1stHS-PE101	693124215;686080856;	d5b91efa58a0699d24def3e2c0cd726c;b9b391ede5a2426c4691d207249cdb2e;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790259/SRR790259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790259/SRR790259_2.fastq.gz;	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790259/SRR790259_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR790/SRR790259/SRR790259_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790259/SRR790259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/SRR790259/SRR790259_2.fastq.gz;							1062571737.0	81a4a9da9a499d0b5e37d1ee613335c4	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790259	fasp.sra.ebi.ac.uk:/vol1/srr/SRR790/SRR790259	ftp.sra.ebi.ac.uk/vol1/srr/SRR790/SRR790259				Physco_AS		General Sample for Physcomitrella patens	0.0	2013-11-11
